Citation,Entity Empowered,Triggering Event,Location
Presidential Policy Directive 8,"Department of Homeland Security,Federal Emergency Management Agency,Environmental Protection Agency,Department of Agriculture,Department of Defense,Department of Transportation,Department of Justice,Department of Health and Human Services",No triggering event - Capacity Building,Domestic
"Executive Order 11,988, Floodplain Management","Federal Emergency Management Agency,Department of Housing and Urban Development,Department of Agriculture,Department of Transportation,Environmental Protection Agency",No triggering event - Capacity Building,Domestic
Homeland Security Presidential Directive 7,"Department of Homeland Security,Department of Justice,Broadly applies to any relevant federal agency,Department of Agriculture,Environmental Protection Agency,Department of Energy,Department of the Treasury,Department of the Interior,Department of Defense,Department of Commerce,Department of Transportation,Department of Health and Human Services,Department of State",No triggering event - Capacity Building,Domestic
Presidential Policy Directive 21,"Department of Homeland Security,Department of State,Department of Justice,Department of Defense,Department of the Interior,Department of Commerce,Department of Energy,Department of the Treasury,Department of Agriculture,Department of Transportation,Environmental Protection Agency,Department of Health and Human Services,General Services Administration",No triggering event - Capacity Building,Domestic
49 U.S.C. § 46105(c),"Department of Transportation,Department of Transportation - Federal Aviation Administration","Natural Disaster,Health Emergency,Terrorism,Act of War,Potential Public Health Emergency",Domestic
49 U.S.C. § 20104(a)(1),"Department of Transportation,Department of Transportation - Federal Railroad Administration","Natural Disaster,Health Emergency,Potential Public Health Emergency,Act of War,Terrorism",Domestic
49 C.F.R. § 1,Department of Transportation,No triggering event - Capacity Building,Domestic
6 U.S.C § 101 et seq. ,"Department of Homeland Security,Federal Emergency Management Agency,Department of Transportation,Department of Health and Human Services",No triggering event - Capacity Building,Domestic
49 C.F.R. §§ 602.3–602.17,"Department of Transportation,Department of Transportation - Federal Transit Administration","Presidential Emergency Declarations,Presidential Major Disaster Declaration",Domestic
44 C.F.R. § 321,"Department of Defense,Department of Energy,Federal Emergency Management Agency,Department of Transportation - Maritime Administration",No triggering event - Capacity Building,Both
46 U.S.C. § 56102,Department of Transportation,"NEA Emergency Declaration,Declaration of War,Act of War",Both
46 U.S.C. § 56301,Department of Transportation,"NEA Emergency Declaration,Act of War,Declaration of War",Both
46 U.S.C. § 57521,Department of Transportation,"NEA Emergency Declaration,Act of War,Declaration of War",Domestic
46 U.S.C. § 70051,"Department of Transportation,POTUS or Executive Office of the President of the United States","Natural Disaster,Act of War,Terrorism,NEA Emergency Declaration",Both
49 U.S.C. § 5334,"Department of Transportation,Department of Transportation - Federal Transit Administration",NEA Emergency Declaration,Domestic
49 U.S.C. § 47152,Department of Transportation,NEA Emergency Declaration,Domestic
